date,demand_proxy,temp_c,precip_mm
2025-10-19,101.883,12.972,15.611
2025-10-20,106.908,9.072,0.055
2025-10-21,105.981,4.764,0
2025-10-22,109.686,15.18,0.074
2025-10-23,106.993,8.093,0.047
2025-10-24,104.129,8.34,0.058
2025-10-25,97.499,8.232,0.041
2025-10-26,106.418,11.562,0.097
2025-10-27,110.796,13.862,0.08
2025-10-28,99.329,9.081,19.216
2025-10-29,110.866,12.608,0
2025-10-30,103.897,8.766,0
2025-10-31,107.244,14.768,0.064
2025-11-01,100.487,6.88,0.071
2025-11-02,95.077,2.888,0
2025-11-03,108.818,7.889,0
2025-11-04,105.887,9.919,0
2025-11-05,105.623,11.243,0.022
2025-11-06,106.185,9.664,0.082
2025-11-07,106.112,12.759,8.348
2025-11-08,93.823,4.245,0.048
2025-11-09,96.753,7.207,0.073
2025-11-10,108.113,5.877,0.616
2025-11-11,107.152,6.938,0.199
2025-11-12,104.235,7.98,0.033
2025-11-13,107.036,7.047,3.774
2025-11-14,101.801,6.53,0.123
2025-11-15,98.596,4.482,0
2025-11-16,101.254,11.222,4.376
2025-11-17,101.852,4.099,0.123
2025-11-18,106.752,7.484,8.354
2025-11-19,108.662,8.527,0
2025-11-20,103.66,5.654,0.048
2025-11-21,105.357,5.958,0.073
2025-11-22,100.215,7.925,0.025
2025-11-23,93.766,-1.781,0.15
2025-11-24,109.808,4.73,0
2025-11-25,101.443,1.747,9.896
2025-11-26,98.825,-1.196,4.598
2025-11-27,107.256,1.292,0.07
2025-11-28,95.754,2.959,4.199
2025-11-29,105.223,6.862,0
2025-11-30,100.211,5.856,0.052
2025-12-01,97.012,1.846,16.858
2025-12-02,101.807,5.002,10.277
2025-12-03,101.813,-0.757,0.935
2025-12-04,103.53,0.661,0
2025-12-05,98.916,-0.2,1.352
2025-12-06,97.529,2.715,0.171
2025-12-07,93.501,-0.249,9.241
2025-12-08,108.672,6.211,0.234
2025-12-09,106.61,7.098,0.127
2025-12-10,102.647,-1.475,0.129
2025-12-11,96.241,-2.983,0
2025-12-12,98.31,1.362,6.08
2025-12-13,100.932,0.373,1.228
2025-12-14,100.348,2.219,0.059
2025-12-15,103.394,3.156,12.022
2025-12-16,103.868,1.132,0.048
2025-12-17,99.345,-2.974,1.979
2025-12-18,101.824,2.632,0.005
2025-12-19,96.787,4.497,5.102
2025-12-20,98.196,0.024,0.061
2025-12-21,96.324,1.825,0
2025-12-22,105.78,0.657,0.155
2025-12-23,102.68,-6.29,0
2025-12-24,106.643,-0.782,0.136
2025-12-25,108.32,-0.801,0.099
2025-12-26,106.295,0.661,0
2025-12-27,95.265,-3.468,0
2025-12-28,102.54,4.389,0.117
2025-12-29,102.524,-0.861,0.031
2025-12-30,101.195,-3.154,0.082
2025-12-31,100.792,-2.955,0.021
